
Evaluarea operatiei de cautare pentru un singur factor de umplere 95%, 
folosind o selectie non-uniforma a elementelor. 

Factor de umplere, Efort mediu gasite, Efort maxim gasite, Efort mediu negasite, Efort maxim negasite 
0.95,1,4,40,213

Completarea evaluarii pentru toti factorii de umplere folosind selectie 
 uniforma a elementelor gasite. 

Factor de umplere, Efort mediu gasite, Efort maxim gasite, Efort mediu negasite, Efort maxim negasite 
0.5,1,15,2,20
0.8,2,53,10,77
0.85,3,67,15,81
0.9,4,75,25,123
0.95,5,118,40,191
0.99,7,344,112,979
1,11,3195,10007,10007

Evaluare operatie cautare dupa stergerea unor elemente.

Factor de umplere, Efort mediu gasite, Efort maxim gasite, Efort mediu negasite, Efort maxim negasite 
0.8,9,339,113,980
